buoy,date,water_depth,solar_zenith_angle,Ed_PAR,chlorophyll
B01,2002-04-01,62,1.439271907299578,223.55538847368422,4.825212132867133
B01,2002-05-01,62,1.3057961900806452,280.34405531944446,1.9428817232392472
B01,2002-06-01,62,1.2480967275833332,261.0916705706107,1.7924555532916666
B01,2002-07-01,62,1.2708010298521506,310.6551386483932,1.0765913999327956
B01,2002-08-01,62,1.372819608866279,212.44305711671925,0.9956816335261225
B01,2002-09-01,62,1.5189227083106267,1.6374959165247018,0.5885333349190476
B01,2002-10-01,62,1.6914016194428572,61.64622919330148,11.096822857142858
B01,2002-11-01,62,1.8256969626944444,26.119556166025184,6.158844444444444
B01,2002-12-01,62,1.8864215297668039,1.4927072297448818,3.8673031550068586
B01,2003-01-01,62,1.8671819547043012,1.3105626762712808,3.8504086021505377
B01,2003-02-01,62,1.7636550130059523,1.9111014625693823,3.8674761904761907
B01,2003-03-01,62,1.6075459833064516,1.627364815933051,6.615010752688172
B01,2003-04-01,62,1.4401861160390517,19.594383997923146,14.26219269832636
B01,2003-05-01,62,1.3089734684139784,89.63758555902778,2.2546449474674386
B01,2003-06-01,62,1.2487252158333333,67.30729341089966,1.0084602614934115
B01,2003-07-01,62,1.271505785020243,104.30850226609442,0.7562904294444445
B01,2003-08-01,62,1.364806357062937,129.8496504074074,0.9782050654569893
B01,2003-09-01,62,1.518837668125,83.93622084722467,1.6145633275
B01,2003-10-01,62,1.691156254642375,40.85790532037643,3.8305249148448044
B01,2003-11-01,62,1.8256987735416668,14.095757912307691,4.89066775
B01,2003-12-01,62,1.8915936853494624,17.22372509744186,1.2569206451612904
B01,2004-01-01,62,1.8639136757624397,26.128111970084667,1.1645997110754414
B01,2004-02-01,62,1.761191629295977,3.4675344389282103,1.1872929824561405
B01,2004-03-01,62,0.25330316289189186,47.2482253241958,6.1756567465306125
B01,2004-04-01,62,1.4334240086527779,105.61403258767857,4.854335638664812
B01,2004-05-01,62,1.3050695074024226,109.3062866366465,3.241490948717949
B01,2004-06-01,62,1.2480970590416667,91.35977387478336,2.4115340323570433
B01,2004-07-01,62,1.2708013348655913,112.2553266834471,1.7812848574293405
B01,2004-08-01,62,1.3708478772446238,133.7380627132025,2.7601321177419353
B01,2004-09-01,62,-212.4833479895139,50.37400670472441,2.9774883726388888
B01,2004-10-01,62,-399.9240956553243,323.9131886384409,4.230361308783784
B01,2004-11-01,62,1.828226945062587,305.1804518492245,2.85450882767733
B01,2004-12-01,62,1.8922790869623656,13.393868632762313,2.8179739666666666
B01,2005-01-01,62,1.8709422189115645,256.6726818992506,2.0318360437810945
B01,2005-02-01,62,1.7590024184375,326.1650397180077,3.254952313057851
B01,2005-03-01,62,1.6018597914784947,5.534494992600897,NA
B01,2005-04-01,62,1.431589946862745,14.579265349882904,1.0009375
B01,2005-05-01,62,1.3057938876478494,50.13047867721519,2.04966628959276
B01,2005-06-01,62,1.2480948905694444,31.382434307407408,1.7103478964401295
B01,2005-07-01,62,1.2707993529301076,56.646134845188286,0.7675171624713959
B01,2005-08-01,62,-12.076928133333332,66.50033470748299,0.5525204359673025
B01,2005-09-01,62,1.5243759919722222,34.466639692307695,1.4625088028169013
B01,2005-10-01,62,1.6952601403638814,19.7879706694974,2.0016696801449276
B01,2005-11-01,62,1.8291617075,37.0967044280389,1.560623067875
B01,2005-12-01,62,1.892278732392473,32.44075928494624,1.159311747016129
B01,2006-01-01,62,1.8648542786290323,28.302189333715596,1.1568616537231182
B01,2006-02-01,62,1.7590002432738094,54.00098882913669,1.1279668049404763
B01,2006-03-01,62,1.6018594724731183,99.86345823464164,1.8439006226145553
B01,2006-04-01,62,1.4255514447100424,103.72937936155964,4.8425528166137335
B01,2006-05-01,62,1.3057973082123655,73.09866234171622,1.780080411708029
B01,2006-06-01,62,1.248098117375,48.891377819234044,0.7452476341279555
B01,2006-07-01,62,1.2714752709017496,84.43957386189258,0.42832046613095237
B01,2006-08-01,62,1.3708484117607527,86.30945605164737,0.741725770654212
B01,2006-09-01,62,0.13149475440725245,69.11808660717658,2.473330834645746
B01,2006-10-01,62,1.6932888059005375,65.74044906001636,3.2144115345564517
B01,2006-11-01,62,1.8291762115277779,33.97567154975767,2.1251901367270194
B01,2006-12-01,62,-540.3705184420485,24.41938155050505,1.2368425958490565
B01,2007-01-01,62,-999,NA,0.9875300649530201
B01,2007-02-01,62,-999,NA,1.0394357916964285
B01,2007-03-01,62,-69.46948969473588,99.50544546483516,2.3157349284303113
B01,2007-04-01,62,NA,126.48708207941667,6.623675851277778
B01,2007-05-01,62,NA,137.7610802263441,3.335257715698925
B01,2007-06-01,62,NA,135.14396,1.7063952281944443
B01,2007-07-01,62,NA,165.07383376639785,1.3208691086021505
B01,2007-08-01,62,NA,176.20958059,1.3678855497297298
B01,2007-09-01,62,NA,151.35372824298892,2.1922277774169743
